dataset_id,cost_reward_ratio,treat_none,treat_none_phi,treat_all,tret_all_phi,s-learner_policy_1,s-learner_policy_1_phi,s-learner_policy_2,s-learner_policy_2_phi,double_machine_learning_policy_1,double_machine_learning_policy_1_phi,double_machine_learning_policy_2,double_machine_learning_policy_2_phi,x-learner_policy_1,x-learner_policy_1_phi,x-learner_policy_2,x-learner_policy_2_phi,causal_forest_policy_1,causal_forest_policy_1_phi,causal_forest_policy_2,causal_forest_policy_2_phi
28,0.0333333333333333,970200.0,0.0,960206.0,1.0,976240.0,0.3008864611488083,968904.0,0.2893378947965297,973550.0,0.2975409681138601,970842.0,0.2948570132496645,962118.0,0.454174305857448,982696.0,0.4184890468180014,975920.0,0.4462736499896044,977224.0,0.4543255145821914
29,0.0333333333333333,962400.0,0.0,959526.0,1.0,985936.0,0.3037216247377474,984380.0,0.3016803069537112,976606.0,0.2981836051940197,977022.0,0.293174816186894,985438.0,0.4691250685164534,992182.0,0.4399417846409738,977712.0,0.4392046421078496,975040.0,0.4458011227247812
30,0.0333333333333333,960720.0,0.0,951172.0,1.0,987540.0,0.2923242671102122,988916.0,0.2724403198064528,976892.0,0.2649932901128395,977640.0,0.2578108756875272,958884.0,0.4421721133309392,973174.0,0.4107395996749012,966506.0,0.4190182773546033,971060.0,0.4373334341391498
31,0.0333333333333333,963180.0,0.0,958314.0,1.0,984910.0,0.3117734893303344,981416.0,0.3120948078704141,970368.0,0.3080877766647135,969942.0,0.305366019619332,968306.0,0.4610732039238664,978284.0,0.4353866218080783,977144.0,0.4326459636721039,982838.0,0.452076284801633
32,0.0333333333333333,972000.0,0.0,964334.0,1.0,988974.0,0.274991967036498,984572.0,0.2634055985030336,972832.0,0.2816640520158013,975692.0,0.277581416447729,975630.0,0.4526811197006067,972926.0,0.417562893378948,969420.0,0.4111176214867598,976530.0,0.4269189332224469
33,0.0333333333333333,956880.0,0.0,961426.0,1.0,961408.0,0.3174816186893984,966784.0,0.3125484340446444,971742.0,0.314722059462831,968394.0,0.3112820609749182,961844.0,0.4616024344604684,965572.0,0.433893435651237,967314.0,0.4486362863137203,971434.0,0.4538340862267753
34,0.0333333333333333,963720.0,0.0,962320.0,1.0,990522.0,0.3112820609749182,989430.0,0.3058574479747481,974500.0,0.3572684143875101,973404.0,0.3568525903944657,976438.0,0.4589184795962727,982796.0,0.4319655244107585,983106.0,0.438826620295991,985986.0,0.4489009015820213
35,0.0333333333333333,970380.0,0.0,958434.0,1.0,974720.0,0.3039673389154554,984080.0,0.2941198707165403,980044.0,0.1977999130549832,980046.0,0.1921106847865122,966220.0,0.4441567278431965,973226.0,0.4156727843196552,981576.0,0.4162776192186289,980730.0,0.4322490407696524
36,0.0333333333333333,970080.0,0.0,955910.0,1.0,983218.0,0.2717031772733286,986526.0,0.2533691193981893,979854.0,0.2415937399587956,979840.0,0.2358478084185457,967062.0,0.4589373806868656,972838.0,0.427164647400155,962414.0,0.431833216776608,961654.0,0.4473510121534012
37,0.0333333333333333,963240.0,0.0,963326.0,1.0,981134.0,0.2698886725764076,981758.0,0.2560719753529779,963498.0,0.2710605401931691,966696.0,0.2683765853289734,966312.0,0.4272969550343055,976730.0,0.3918952123537528,991576.0,0.4072428979152097,986424.0,0.4236679456404634
